name,qid,transformer,human,gpt3,chat_tom,chat_user_collo,chat_user_natural
11pt_avg              ,100_1,0.3693,0.3692,0.3692,0.3693,0.3693,0.3692
11pt_avg              ,100_2,0.4752,0.4418,0.3503,0.4235,0.4384,0.4037
11pt_avg              ,100_3,0.0004,0.5067,0.0501,0.1999,0.3032,0.3818
11pt_avg              ,100_4,0.2283,0.3347,0.1153,0.2041,0.011,0.038
11pt_avg              ,100_5,0,0.0539,0.1497,0.1043,0,0.0962
11pt_avg              ,100_6,0.2379,0.238,0.4241,0.4427,0.5719,0.5236
11pt_avg              ,100_7,0.5905,0.0242,0.0536,0.0242,0.0194,0.1441
11pt_avg              ,100_8,0.1457,0.0992,0.103,0.0335,0.1515,0.0126
11pt_avg              ,101_1,0.008,0.008,0.008,0.008,0.008,0.008
11pt_avg              ,101_10,0.0035,0.7025,0.5947,0.7309,0.3933,0.7246
11pt_avg              ,101_2,0.3793,0.3793,0.3261,0.4067,0.2113,0.4067
11pt_avg              ,101_3,0.55,0.55,0.544,0.5066,0.5647,0.544
11pt_avg              ,101_4,0.2358,0.5965,0.18,0.0748,0.1441,0.1404
11pt_avg              ,101_5,0.3138,0.3273,0.2404,0.1729,0.2306,0.2393
11pt_avg              ,101_6,0.492,0.492,0.492,0.2718,0.0001,0.154
11pt_avg              ,101_7,0.0045,0.4567,0.4103,0.3718,0.3716,0.3985
11pt_avg              ,101_8,0.0188,0.5891,0.0019,0.281,0.016,0.6962
11pt_avg              ,101_9,0.0042,0.1585,0.5065,0.4064,0.0073,0.384
11pt_avg              ,102_1,0.3649,0.3873,0.3649,0.3649,0.3649,0.3649
11pt_avg              ,102_2,0.1395,0.2328,0.0039,0.076,0.0408,0.114
11pt_avg              ,102_3,0.7764,0.7379,0.7283,0.7226,0.7226,0.7226
11pt_avg              ,102_4,0.1636,0.1636,0.2527,0.1964,0.1571,0.191
11pt_avg              ,102_5,0.1187,0.0524,0.0814,0.0998,0.1492,0.1998
11pt_avg              ,102_6,0.2679,0.2679,0.2535,0.203,0.037,0.16
11pt_avg              ,102_7,0.1712,0.2019,0.2639,0.1098,0.204,0.4107
11pt_avg              ,102_8,0.0801,0.1398,0.0033,0.0172,0.0391,0.0156
11pt_avg              ,102_9,0.0167,0.153,0,0.0001,0.0029,0.0004
11pt_avg              ,103_1,0.1098,0.1532,0.1098,0.1098,0.1098,0.1098
11pt_avg              ,103_10,0.0094,0.1227,0.0521,0.0152,0.0007,0.0545
11pt_avg              ,103_2,0.4233,0.552,0.5385,0.3508,0.1414,0.4477
11pt_avg              ,103_3,0.0027,0.0469,0.1467,0.0334,0.004,0.0376
11pt_avg              ,103_4,0.0084,0.1964,0.1964,0.2694,0,0.1964
11pt_avg              ,103_5,0.0934,0.3075,0.3075,0.5938,0.1538,0.5938
11pt_avg              ,103_6,0.0064,0.1126,0.0522,0.1786,0.0015,0.113
11pt_avg              ,103_8,0,0.038,0.3104,0.1858,0.0493,0.0936
11pt_avg              ,103_9,0,0.1675,0.0538,0.2868,0,0.1257
11pt_avg              ,104_1,0.1873,0.1873,0.1873,0.1873,0.1873,0.1873
11pt_avg              ,104_10,0,0.0314,0.1632,0,0,0
11pt_avg              ,104_12,0.0522,0.1428,0.0439,0.0923,0.0006,0.0288
11pt_avg              ,104_13,0.0102,0.197,0.1072,0.1132,0.0978,0.101
11pt_avg              ,104_3,0.1728,0.1724,0.2113,0.2154,0.2352,0.0777
11pt_avg              ,104_4,0.0079,0.4039,0.2662,0.3042,0.0642,0.2046
11pt_avg              ,104_6,0.0345,0.6524,0.0255,0.2239,0,0.0116
11pt_avg              ,104_7,0.0786,0.6805,0.5825,0.7041,0.1414,0.688
11pt_avg              ,104_8,0.0009,0.0764,0.2057,0.1946,0.0917,0.2143
11pt_avg              ,104_9,0.4779,0.4655,0.253,0.4056,0.493,0.109
11pt_avg              ,105_1,0.3802,0.3802,0.3802,0.3802,0.3802,0.3802
11pt_avg              ,105_2,0.0064,0.453,0.0571,0.001,0,0.0125
11pt_avg              ,105_3,0,0.118,0.1414,0.1198,0,0.1001
11pt_avg              ,105_4,0.0009,0.166,0.3039,0.1404,0.0015,0.0013
11pt_avg              ,105_5,0.5315,0.504,0.5315,0.4096,0.6045,0.2475
11pt_avg              ,105_6,0.2093,0.2093,0.2083,0.1893,0.2064,0.163
11pt_avg              ,105_7,0.401,0.4875,0.6408,0.6772,0.7769,0.6772
11pt_avg              ,105_8,0.0214,0,0.0114,0,0,0
11pt_avg              ,105_9,0.1464,0.3838,0.4648,0.3658,0.2513,0.3476
11pt_avg              ,81_1,0.3679,0.3679,0.3679,0.3679,0.3679,0.3679
11pt_avg              ,81_2,0.3703,0.3755,0.3109,0.3051,0.409,0.4225
11pt_avg              ,81_3,0.2737,0.4894,0.3955,0.1176,0.0185,0.2988
11pt_avg              ,81_4,0.2848,0.2934,0.2934,0.2934,0,0.3142
11pt_avg              ,81_5,0.3414,0.3414,0.3005,0.2723,0.3375,0.2768
11pt_avg              ,81_6,0.1572,0.1572,0.1894,0.1127,0.1425,0.101
11pt_avg              ,81_7,0.0054,0.0196,0.0119,0.007,0.0061,0.0052
11pt_avg              ,81_8,0.0311,0.0644,0.0112,0.0097,0.0126,0.0125
11pt_avg              ,82_1,0.6295,0.6297,0.6297,0.6295,0.6295,0.6297
11pt_avg              ,82_10,0.0028,0.0011,0.1251,0.0016,0.002,0.0007
11pt_avg              ,82_2,0.2932,0.2932,0.1399,0.1997,0.1997,0.2001
11pt_avg              ,82_3,0.1934,0.1793,0.1835,0.1709,0.0897,0.0878
11pt_avg              ,82_4,0.5896,0.6227,0.4749,0.5768,0.589,0.5768
11pt_avg              ,82_5,0.0504,0.507,0.3029,0.41,0.053,0.2119
11pt_avg              ,82_6,0.0542,0.4856,0.4071,0.4177,0.0359,0.39
11pt_avg              ,82_7,0.2688,0.2372,0.2375,0.1727,0.1781,0.207
11pt_avg              ,82_8,0.1788,0.5097,0.1376,0.3733,0.2825,0.1816
11pt_avg              ,82_9,0.0305,0.3833,0.3679,0.5051,0.2628,0.4823
11pt_avg              ,83_1,0.1601,0.1601,0.1601,0.1601,0.1601,0.1601
11pt_avg              ,83_2,0.0266,0.2777,0.3102,0.2515,0.059,0.2515
11pt_avg              ,83_3,0.627,0.608,0.608,0.2147,0.6404,0.3505
11pt_avg              ,83_4,0.2592,0.255,0.1221,0.0632,0.1977,0.0911
11pt_avg              ,83_5,0.2127,0.261,0.238,0.1755,0.0094,0.2396
11pt_avg              ,83_6,0.0475,0.3608,0.0099,0.054,0.0533,0.0446
11pt_avg              ,83_7,0.5557,0.3003,0.5466,0.5626,0.1364,0.5454
11pt_avg              ,83_8,0.3764,0.362,0.3276,0.3322,0.3552,0.3322
11pt_avg              ,84_1,0.4404,0.4404,0.4404,0.4404,0.4404,0.4404
11pt_avg              ,84_2,0.1766,0.2879,0.4002,0.3435,0.3353,0.3479
11pt_avg              ,84_3,0.1864,0.3131,0.277,0.2821,0.2267,0.2016
11pt_avg              ,84_4,0.197,0.2445,0.2306,0.244,0.0919,0.2727
11pt_avg              ,84_5,0.0516,0.1331,0.0582,0.1016,0.001,0.0054
11pt_avg              ,84_6,0.0177,0.0531,0.0856,0.082,0.0281,0.0327
11pt_avg              ,85_1,0.6788,0.5894,0.6788,0.6788,0.6788,0.6788
11pt_avg              ,85_2,0.5887,0.5887,0.4537,0.4676,0.5251,0.5916
11pt_avg              ,85_3,0.3149,0.6868,0.5803,0.6202,0.6137,0.6368
11pt_avg              ,85_4,0.005,0.3963,0.3932,0.3879,0.31,0.3879
11pt_avg              ,85_5,0.3661,0.4169,0.3787,0.2191,0,0.3205
11pt_avg              ,85_6,0.2909,0.4167,0.4339,0.5052,0.3395,0.4688
11pt_avg              ,85_7,0,0.4473,0.2585,0.327,0.2759,0.3984
11pt_avg              ,85_8,0,0.3268,0.2721,0.2739,0.0962,0.3347
11pt_avg              ,85_9,0,0.1131,0.3149,0.292,0,0.3016
11pt_avg              ,86_1,0.4329,0.4329,0.4329,0.4329,0.4329,0.4329
11pt_avg              ,86_2,0.0364,0.1471,0.0825,0.0781,0.0463,0.0596
11pt_avg              ,86_3,0.3644,0.3663,0.3547,0.3314,0.2177,0.3799
11pt_avg              ,86_4,0.068,0.2501,0.3184,0.2407,0.271,0.275
11pt_avg              ,86_5,0.0375,0.0773,0.3682,0.3687,0.3145,0.3324
11pt_avg              ,86_6,0.0311,0.0311,0,0.2382,0.0002,0
11pt_avg              ,86_7,0.286,0.3063,0.305,0.3331,0.0002,0.2101
11pt_avg              ,87_1,0.4654,0.4654,0.4654,0.4654,0.4654,0.4654
11pt_avg              ,87_2,0.2754,0.2684,0.2756,0.2237,0.2541,0.2237
11pt_avg              ,87_3,0.6964,0.6964,0.6964,0.6488,0.531,0.6488
11pt_avg              ,87_4,0.5975,0.5912,0.5445,0.4566,0.4735,0.4566
11pt_avg              ,87_5,0.5001,0.575,0.3031,0.3902,0.1373,0.3976
11pt_avg              ,87_7,0.3123,0.3232,0.3232,0.3289,0.3243,0.2498
11pt_avg              ,87_8,0.0361,0.2887,0.0283,0.0413,0.0005,0.0348
11pt_avg              ,87_9,0.2295,0.2215,0.2639,0.3398,0.2231,0.2592
11pt_avg              ,88_1,0.2041,0.2041,0.2041,0.2041,0.2041,0.2041
11pt_avg              ,88_10,0.1396,0.171,0.3958,0.4032,0.2736,0.2665
11pt_avg              ,88_2,0.4843,0.407,0.4218,0.4218,0.3172,0.4218
11pt_avg              ,88_3,0.1886,0.2359,0.1813,0.1501,0.198,0.2345
11pt_avg              ,88_4,0.0215,0.0745,0.0041,0.005,0.0121,0.0083
11pt_avg              ,88_5,0.2624,0.2624,0.2743,0.2549,0.2258,0.1922
11pt_avg              ,88_6,0.2188,0.1865,0.0367,0.0526,0.3552,0.2047
11pt_avg              ,88_7,0.1305,0.3285,0.3281,0.3396,0.3016,0.3338
11pt_avg              ,88_8,0.5281,0.5838,0.5327,0.557,0.4249,0.5303
11pt_avg              ,88_9,0,0.202,0.0003,0.0001,0,0.0454
11pt_avg              ,89_1,0.3871,0.387,0.387,0.3871,0.3871,0.387
11pt_avg              ,89_10,0,0.4016,0.3373,0.2147,0.1644,0.2885
11pt_avg              ,89_11,0.1536,0.1201,0.2337,0.0027,0.2214,0.0442
11pt_avg              ,89_2,0.1563,0.1564,0.0173,0.1163,0.2912,0.1163
11pt_avg              ,89_3,0.1575,0.4322,0.4533,0.4533,0.4322,0.4103
11pt_avg              ,89_4,0.919,0.9223,0.8759,0.8759,0.8554,0.8759
11pt_avg              ,89_5,0.5788,0.5788,0.522,0.6044,0.5978,0.5828
11pt_avg              ,89_6,0.0002,0.127,0.0001,0.0001,0.0012,0
11pt_avg              ,89_7,0.46,0.46,0.3545,0.4726,0.4361,0.4867
11pt_avg              ,89_8,0.3593,0.3593,0.3466,0.3761,0.0419,0.3717
11pt_avg              ,89_9,0.2561,0.3239,0.2594,0.2511,0.2161,0.2282
11pt_avg              ,90_1,0.4502,0.4502,0.4502,0.4502,0.4502,0.4502
11pt_avg              ,90_2,0.0545,0.2742,0.0988,0.5453,0.3299,0.4165
11pt_avg              ,90_3,0.007,0.1306,0.1381,0.1282,0.0553,0.1142
11pt_avg              ,90_4,0.0006,0.4375,0.1892,0.3398,0,0.2023
11pt_avg              ,90_5,0.2778,0.3562,0.218,0.2228,0.2528,0.2281
11pt_avg              ,90_6,0.1943,0.1892,0.204,0.271,0.2245,0.1535
11pt_avg              ,90_7,0.0002,0.1881,0.1239,0.0001,0,0.0002
11pt_avg              ,90_8,0,0.7034,0.7645,0.7689,0.1781,0.4297
11pt_avg              ,91_1,0.4118,0.5448,0.4118,0.4118,0.4118,0.4118
11pt_avg              ,91_2,0.044,0.2398,0.2457,0.2448,0.1815,0.2473
11pt_avg              ,91_3,0.0025,0.3066,0.0008,0.0056,0.0254,0.0065
11pt_avg              ,91_4,0.4909,0.0009,0.4697,0.5661,0.6061,0.6136
11pt_avg              ,91_5,0.0012,0.0253,0.0125,0.0124,0.0002,0.0144
11pt_avg              ,91_6,0.5493,0.5493,0.0045,0,0.5534,0.4882
11pt_avg              ,91_7,0.0004,0.1105,0.0737,0.0805,0.1081,0.1248
11pt_avg              ,91_8,0.1953,0.4543,0.6157,0.2811,0.1401,0.3145
11pt_avg              ,92_1,0.0262,0.0262,0.0262,0.0262,0.0262,0.0262
11pt_avg              ,92_2,0.1117,0.2606,0.2887,0.2445,0.0469,0.2731
11pt_avg              ,92_3,0.2654,0.1821,0.1832,0.0889,0.0728,0.0705
11pt_avg              ,92_4,0.0096,0.1656,0.1766,0.1188,0.019,0.1092
11pt_avg              ,92_5,0.1622,0.1485,0.0735,0.0979,0.084,0.1204
11pt_avg              ,92_6,0.1914,0.2697,0.1675,0.1075,0.0045,0.1995
11pt_avg              ,92_7,0.0883,0.0939,0.0641,0.1132,0.0648,0.1132
11pt_avg              ,93_1,0.0988,0.0988,0.0988,0.0988,0.0988,0.0988
11pt_avg              ,93_2,0.2206,0.1637,0.2116,0.2442,0.2987,0.2442
11pt_avg              ,93_3,0.3593,0.1927,0.5152,0.5152,0.0004,0.0003
11pt_avg              ,93_4,0.0453,0.0509,0.0049,0.0056,0.1174,0.0056
11pt_avg              ,93_5,0.2094,0.0123,0.0723,0.0699,0.0938,0.0699
11pt_avg              ,93_6,0.0173,0.0002,0.1274,0.4104,0.2415,0.4104
11pt_avg              ,94_1,0.6046,0.6046,0.6046,0.6046,0.6046,0.6046
11pt_avg              ,94_2,0.0268,0.316,0.4302,0.3444,0.2042,0.374
11pt_avg              ,94_3,0.1293,0.1309,0.1871,0.1936,0.19,0.2554
11pt_avg              ,94_4,0.187,0.087,0.052,0.1866,0.1861,0.0381
11pt_avg              ,94_5,0.2187,0.294,0.1143,0.1717,0.1449,0.1758
11pt_avg              ,94_6,0.1451,0.1214,0.0401,0.067,0.057,0.073
11pt_avg              ,94_7,0.081,0.1377,0.2012,0.1575,0.0052,0.0981
11pt_avg              ,94_8,0.254,0.5803,0.3835,0.1511,0.2715,0.085
11pt_avg              ,95_1,0.1546,0.1546,0.1546,0.1546,0.1546,0.1546
11pt_avg              ,95_2,0.1128,0.1281,0.1212,0.0154,0.0605,0.134
11pt_avg              ,95_3,0.193,0.1373,0.1185,0.1599,0.123,0.1599
11pt_avg              ,95_4,0.2067,0.2067,0.1092,0.1558,0.0419,0.1477
11pt_avg              ,95_5,0.1347,0.203,0.1784,0.1609,0.2815,0.1609
11pt_avg              ,95_6,0.6067,0.6067,0.4887,0.4795,0.0678,0.4862
11pt_avg              ,95_7,0.3567,0.3567,0.3567,0.3124,0.3716,0.3232
11pt_avg              ,95_8,0.3333,0.3333,0.3333,0.3121,0.2407,0.3121
11pt_avg              ,96_1,0.3907,0.3907,0.3907,0.3907,0.3907,0.3907
11pt_avg              ,96_3,0.2834,0.2834,0.1391,0.1364,0.0914,0.3147
11pt_avg              ,96_4,0.6247,0.6247,0.6167,0.5877,0.6462,0.6098
11pt_avg              ,96_5,0.0475,0.0263,0.1269,0.0523,0,0.1216
11pt_avg              ,96_6,0.2803,0.2812,0.3554,0.1371,0.3297,0.2203
11pt_avg              ,96_7,0.3678,0.3708,0.369,0.3452,0.3381,0.3348
11pt_avg              ,96_8,0.4256,0.4261,0.3563,0.1662,0.3639,0.1662
11pt_avg              ,97_1,0.2198,0.2016,0.2197,0.2198,0.2198,0.2197
11pt_avg              ,97_2,0.3514,0.4244,0.423,0.342,0.3061,0.3071
11pt_avg              ,97_3,0.2434,0.25,0.2488,0.2379,0.1897,0.1971
11pt_avg              ,97_4,0.1787,0.2922,0.3033,0.2935,0.3196,0.2961
11pt_avg              ,97_5,0.0723,0.2542,0.2302,0.2492,0.0656,0.243
11pt_avg              ,97_6,0.0556,0.2126,0.3388,0.0921,0.0944,0.0924
11pt_avg              ,97_7,0.0002,0.2135,0.2679,0.2196,0.538,0.2196
11pt_avg              ,97_8,0.0084,0.2991,0.2005,0.0714,0,0.0939
11pt_avg              ,98_1,0.2557,0.2557,0.2557,0.2557,0.2557,0.2557
11pt_avg              ,98_2,0.0685,0.573,0.1102,0.5036,0.2786,0.2187
11pt_avg              ,98_3,0.0007,0.2384,0.2197,0.231,0.2468,0.3022
11pt_avg              ,98_4,0.0134,0.2173,0.0342,0.1014,0.022,0.0055
11pt_avg              ,98_5,0.14,0.1386,0.0879,0.1593,0.1006,0.0857
11pt_avg              ,98_6,0.3203,0.3267,0.2875,0.2948,0.161,0.3008
11pt_avg              ,98_7,0.1293,0.0642,0.0525,0.0431,0.1258,0.0334
