name,qid,human,transformer,gpt3,chat_user_collo,chat_user_natural
11pt_avg              ,106_1,0.1314,0.0647,0.1773,0.1773,0.1773
11pt_avg              ,106_10,0.0706,0.2447,0.0707,0.2087,0.0841
11pt_avg              ,106_2,0.1541,0.0312,0.172,0.0165,0.1514
11pt_avg              ,106_3,0.1123,0.1257,0.1306,0,0.0797
11pt_avg              ,106_4,0.2626,0.3195,0.3161,0.3666,0.274
11pt_avg              ,106_5,0.02,0.0628,0.2347,0,0.1932
11pt_avg              ,106_6,0.1818,0.2233,0.2667,0.3349,0.2848
11pt_avg              ,106_7,0.2058,0.496,0.319,0.3109,0.4289
11pt_avg              ,106_8,0.0177,0.0048,0.0536,0.0066,0.0655
11pt_avg              ,107_1,0.2593,0.3813,0.3621,0.3621,0.362
11pt_avg              ,107_2,0.5339,0.5336,0.4493,0.5171,0.3204
11pt_avg              ,107_3,0.4647,0.221,0.3789,0.2895,0.3953
11pt_avg              ,107_4,0.3175,0.0001,0.0123,0.0291,0.1123
11pt_avg              ,107_5,0.1584,0.1455,0.1898,0.2126,0.2129
11pt_avg              ,107_6,0.423,0.2968,0.3065,0.328,0.4049
11pt_avg              ,107_7,0.4464,0.4899,0.4283,0.4843,0.4263
11pt_avg              ,107_8,0.5633,0.6105,0.527,0.5249,0.5249
11pt_avg              ,108_1,0.2408,0.4141,0.4267,0.4267,0.4267
11pt_avg              ,108_2,0.153,0.3212,0.3426,0.3177,0.2906
11pt_avg              ,108_3,0.0097,0.1893,0.2197,0.2029,0.3095
11pt_avg              ,108_4,0.0409,0.137,0.2329,0.2238,0.1498
11pt_avg              ,108_5,0.3936,0.3607,0.4527,0.2182,0.4147
11pt_avg              ,108_6,0.0123,0.0021,0.013,0.0493,0.0671
11pt_avg              ,108_7,0.2217,0.1326,0.4485,0.3836,0.334
11pt_avg              ,108_8,0.3829,0.3099,0.337,0.3376,0.384
11pt_avg              ,110_1,0.2957,0.3621,0.3381,0.3381,0.3381
11pt_avg              ,110_2,0.3519,0.0863,0.4127,0.4666,0.4622
11pt_avg              ,110_3,0.2684,0.1847,0.432,0.0001,0.4272
11pt_avg              ,110_4,0.4087,0.0452,0.3863,0.3968,0.4055
11pt_avg              ,110_5,0.5228,0.5659,0.0377,0.0994,0.5107
11pt_avg              ,110_6,0.0015,0.0006,0.2879,0.354,0.283
11pt_avg              ,110_7,0.334,0.0017,0.1096,0.0896,0.2209
11pt_avg              ,110_8,0.4817,0.1396,0.0347,0.1804,0.3097
11pt_avg              ,110_9,0.3354,0.114,0.0712,0.1571,0.1474
