name,qid,human,transformer,gpt3,chat_tom
11pt_avg              ,132_1-1,0.2675,0.1443,0.244,0.1499
11pt_avg              ,132_1-3,0.068,0.1032,0.0944,0.0025
11pt_avg              ,132_1-5,0.0051,0,0.0002,0.026
11pt_avg              ,132_2-1,0.2738,0,0.1754,0.2003
11pt_avg              ,132_2-11,0.0057,0.1129,0.1516,0.2036
11pt_avg              ,132_2-13,0.548,0,0.3276,0.009
11pt_avg              ,132_2-3,0.2664,0.2086,0.0017,0.0004
11pt_avg              ,132_2-5,0.1305,0.2643,0.1832,0.1467
11pt_avg              ,132_2-7,0.1735,0.0725,0.2639,0.2572
11pt_avg              ,132_3-1,0.3281,0,0.3007,0.2328
11pt_avg              ,132_3-3,0.0974,0.0103,0.1118,0
11pt_avg              ,132_3-5,0.1062,0,0.0843,0.1602
11pt_avg              ,133_1-1,0.1617,0.0118,0.1307,0.1389
11pt_avg              ,133_1-3,0.1498,0.1258,0.0915,0.1498
11pt_avg              ,133_1-5,0.0934,0.0002,0.0001,0.0009
11pt_avg              ,133_1-7,0.0221,0.005,0.0102,0.0485
11pt_avg              ,133_2-1,0.1982,0,0.1809,0.2126
11pt_avg              ,133_2-3,0.1063,0.0466,0.0968,0
11pt_avg              ,133_3-2,0.0988,0.0895,0.0014,0.0134
11pt_avg              ,133_3-4,0.2461,0.0311,0.1201,0.1373
11pt_avg              ,133_3-6,0.1779,0.0549,0.125,0.1373
11pt_avg              ,133_3-8,0.2763,0.0468,0.0744,0.1474
11pt_avg              ,135_1-1,0.1285,0.0716,0.1308,0.0748
11pt_avg              ,135_1-3,0.064,0.0367,0.0141,0.0243
11pt_avg              ,135_1-5,0.0805,0.0004,0.0276,0.0859
11pt_avg              ,135_1-7,0.0551,0.0043,0.1479,0.1357
11pt_avg              ,135_2-1,0.2514,0.002,0.2175,0.1695
11pt_avg              ,135_2-11,0.1631,0.1047,0.045,0.0542
11pt_avg              ,135_2-3,0.2186,0.0097,0.2503,0.0403
11pt_avg              ,135_2-5,0.2363,0.1038,0.1288,0.2344
11pt_avg              ,135_2-7,0.1246,0.1051,0.1158,0.0023
11pt_avg              ,135_2-9,0.2173,0.2449,0.1822,0.131
11pt_avg              ,135_3-1,0.1082,0.048,0.1317,0.1579
11pt_avg              ,135_3-3,0.007,0.0145,0.1067,0.1055
11pt_avg              ,135_3-5,0.1074,0.1078,0.0004,0.0252
11pt_avg              ,135_4-1,0.2072,0,0,0.1522
11pt_avg              ,136_1-1,0.3029,0.3808,0.3197,0.2904
11pt_avg              ,136_1-11,0.4572,0.4714,0.3704,0.3118
11pt_avg              ,136_1-13,0.061,0.1452,0.0635,0.0951
11pt_avg              ,136_1-3,0.1863,0.2908,0.3144,0.3634
11pt_avg              ,136_1-5,0.1116,0.1281,0.1394,0.0633
11pt_avg              ,136_1-7,0.2355,0.1676,0.2557,0.2538
11pt_avg              ,136_1-9,0.2263,0.1118,0.0599,0.1163
11pt_avg              ,136_2-1,0.2961,0,0.0017,0.1641
11pt_avg              ,136_2-3,0.3612,0.3876,0.4407,0.4381
11pt_avg              ,136_2-5,0.1308,0.0345,0.1915,0.2648
11pt_avg              ,137_1-1,0.7362,0.7018,0.724,0.7231
11pt_avg              ,137_1-3,0.2828,0.2843,0.3538,0.0348
11pt_avg              ,137_1-5,0.2394,0.0658,0.2731,0.2256
11pt_avg              ,137_1-7,0.2649,0.0156,0.0955,0.2655
11pt_avg              ,137_1-9,0.2225,0,0.0526,0.0398
11pt_avg              ,138_1-1,0.012,0.2488,0.0188,0.036
11pt_avg              ,138_1-11,0.2629,0.0085,0.1235,0.1417
11pt_avg              ,138_1-3,0.1206,0.2068,0.0577,0.0206
11pt_avg              ,138_1-5,0.1273,0.1258,0.0069,0.0971
11pt_avg              ,138_1-7,0,0,0,0.0016
11pt_avg              ,138_1-9,0.1971,0.2726,0.0622,0.1923
11pt_avg              ,139_1-1,0.1199,0.1057,0.1847,0.0121
11pt_avg              ,139_1-3,0.345,0,0.4166,0.3482
11pt_avg              ,139_1-5,0.4638,0,0.4532,0.0228
11pt_avg              ,139_1-7,0.1057,0.011,0.1275,0.1326
11pt_avg              ,139_2-11,0.1412,0,0.0004,0.0003
11pt_avg              ,139_2-13,0.0964,0.1088,0.0455,0.0079
11pt_avg              ,139_2-15,0.25,0.2228,0.1249,0.0352
11pt_avg              ,139_2-17,0.1339,0.0003,0.1337,0.1294
11pt_avg              ,139_2-3,0.169,0.2293,0.0647,0.1048
